,smiles,sequence,interactions
155,425,39,1
156,426,48,0
157,442,19,0
158,449,269,1
159,450,155,0
160,451,270,1
161,454,271,1
162,456,82,1
163,458,273,1
164,461,274,0
165,462,264,1
166,464,187,1
167,467,278,1
168,468,279,1
169,469,242,1
170,471,246,0
171,477,281,0
172,484,286,0
173,485,287,0
174,488,100,1
175,491,27,1
176,494,290,0
177,496,40,0
178,498,242,1
179,500,228,1
180,504,18,0
181,509,0,0
182,518,299,0
183,523,50,1
184,524,106,1
185,525,300,1
186,527,27,0
187,528,301,1
188,530,32,0
189,534,52,0
190,537,304,1
191,541,306,0
192,542,43,1
193,546,48,0
194,555,313,1
195,556,40,1
196,558,315,1
197,559,44,0
198,568,173,1
199,573,322,1
200,578,16,1
201,581,312,0
202,582,326,1
203,585,327,1
204,320,228,1
205,591,0,0
206,168,329,1
207,601,332,0
208,602,333,0
209,609,6,1
210,610,26,1
211,611,335,1
212,612,86,0
213,621,100,1
214,622,0,0
215,624,337,1
216,632,175,0
217,634,89,1
218,636,242,1
219,639,343,1
220,641,103,1
221,644,34,0
222,647,345,0
223,651,101,0
224,656,89,1
225,657,39,0
226,660,349,1
227,661,34,1
228,662,350,1
229,664,47,1
230,665,351,0
231,666,39,1
232,667,352,0
233,677,356,1
234,678,95,1
235,680,242,0
236,681,0,0
237,683,19,1
238,685,358,0
239,686,359,0
240,688,361,0
241,694,89,1
242,695,47,1
243,697,32,0
244,700,366,0
245,707,41,0
246,708,370,1
247,709,0,0
248,712,372,1
249,713,219,1
250,332,89,1
251,714,19,1
252,722,187,0
253,727,44,0
254,728,377,0
255,558,160,0
256,735,39,1
257,737,380,1
258,740,381,0
259,741,160,1
260,743,383,1
261,748,286,0
262,751,386,0
263,754,86,1
264,761,228,1
265,762,391,1
266,767,17,0
267,768,90,0
268,771,394,0
269,302,15,1
270,774,0,0
271,775,189,1
272,780,86,0
273,782,82,1
274,787,39,1
275,49,219,0
276,789,72,0
277,790,343,1
278,791,105,1
279,797,48,0
280,799,19,1
281,800,248,0
282,801,400,1
283,749,401,1
284,804,402,1
285,807,246,0
286,809,404,0
287,813,400,0
288,814,50,1
289,288,32,1
290,818,243,1
291,242,407,1
292,820,237,0
293,822,408,0
294,826,410,0
295,829,412,0
296,832,414,1
297,320,26,1
298,839,19,1
299,840,344,1
300,841,53,1
301,843,27,0
302,242,422,1
303,850,242,0
304,853,40,1
305,854,343,1
306,855,424,1
307,858,52,0
308,865,73,1
309,866,320,1
310,870,247,1
311,874,429,0
312,879,82,1
313,882,41,0
314,884,219,1
315,887,431,1
316,891,0,0
317,892,431,1
318,893,432,0
319,894,0,0
320,895,433,1
321,896,232,0
322,898,19,0
323,902,135,1
324,903,48,0
325,906,195,0
326,909,52,0
327,912,439,1
328,913,26,1
329,918,40,1
330,919,242,1
331,921,99,1
332,922,242,1
333,924,47,1
334,926,442,0
335,930,41,0
336,931,402,1
337,937,243,1
338,938,90,1
339,939,228,1
340,481,448,1
341,941,449,1
342,946,18,0
343,948,307,1
344,949,17,0
345,951,101,0
346,953,454,0
347,954,455,1
348,955,196,0
349,957,457,0
350,958,247,1
351,332,242,1
352,965,155,1
353,969,72,1
354,972,39,1
355,973,460,0
356,977,461,0
357,982,82,1
358,983,464,0
359,987,129,0
360,991,39,0
361,995,100,1
362,996,115,0
363,997,47,0
364,999,17,0
365,1000,189,1
366,1001,468,0
367,1004,126,1
368,417,470,0
369,1010,155,0
370,302,40,1
371,1012,472,1
372,685,473,0
373,221,475,0
374,1013,0,0
375,1015,155,0
376,1016,476,0
377,1017,0,0
378,1021,60,0
379,1022,477,0
380,1023,17,0
381,1024,343,1
382,1025,478,1
383,1027,479,1
384,1028,40,1
385,1029,480,0
386,1030,17,0
387,1031,48,0
388,1032,442,0
389,1034,100,1
390,1035,115,0
391,1036,481,1
392,1037,120,1
393,1040,17,0
394,1041,483,0
395,1044,0,0
396,1047,43,0
397,1054,189,1
398,97,6,1
399,943,488,0
400,1059,489,0
401,1060,43,1
402,159,72,1
403,1063,301,1
404,1064,167,1
405,1066,82,1
406,1073,237,0
407,1078,492,0
408,546,197,0
409,1082,494,0
410,1088,19,1
411,1094,497,1
412,1096,86,0
413,1097,499,1
414,1102,43,0
415,1104,502,0
416,1105,503,0
417,1107,40,1
418,1109,504,1
419,1112,443,0
420,1114,505,0
421,1116,32,0
422,564,19,1
423,1120,237,1
424,1121,39,0
425,1124,510,1
426,1127,82,1
427,957,16,0
428,1131,112,1
429,1133,260,0
430,1134,439,1
431,1137,214,0
432,1140,343,1
433,1143,95,1
434,1144,17,0
435,1146,111,0
436,1153,412,0
437,1156,155,0
438,1157,242,0
439,1158,189,1
440,1160,431,1
441,1168,307,0
442,1177,16,0
443,1180,431,1
444,1182,392,0
445,1189,527,1
446,1190,78,1
447,1192,52,0
448,1195,402,0
449,1197,529,1
450,1199,126,1
451,1200,352,0
452,1201,187,1
453,498,5,0
454,1207,52,0
455,1211,47,1
456,1212,112,1
457,1213,242,0
458,1216,532,1
459,1218,14,1
460,1220,533,1
461,996,189,1
462,1223,18,0
463,1224,32,0
464,1225,535,0
465,1232,343,1
466,1234,0,0
467,1236,412,0
468,1237,232,1
469,1242,402,1
470,1244,537,0
471,930,478,1
472,1245,17,0
473,1247,544,0
474,1253,73,0
475,807,546,1
476,1256,547,0
477,1257,111,0
478,1265,552,1
479,1267,554,0
480,1268,555,0
481,1220,556,0
482,1271,100,1
483,1273,115,1
484,1274,546,1
485,1275,60,1
486,1279,60,0
487,1280,93,0
488,47,40,1
489,268,360,0
490,1290,564,0
491,1291,95,0
492,1292,326,0
493,1293,566,1
494,1294,18,0
495,1297,455,0
496,1301,567,0
497,1302,568,1
498,1303,569,0
499,234,0,0
500,1306,39,1
501,633,17,0
502,1317,572,1
503,1319,60,0
504,1320,26,1
505,1323,574,0
506,1324,100,1
507,1325,575,0
508,1326,576,0
509,1327,40,1
510,1329,577,1
511,624,17,0
512,1330,533,1
513,1331,578,0
514,964,579,1
515,1336,580,0
516,1337,0,0
517,1338,22,1
518,1340,40,1
519,1343,547,0
520,1344,17,0
521,1345,106,1
522,1348,582,0
523,1350,32,0
524,1353,195,0
525,1354,583,0
526,1357,301,1
527,1358,60,0
528,1359,584,0
529,1361,585,1
530,1363,32,0
531,1364,95,1
532,48,21,0
533,1365,32,0
534,1366,320,1
535,1369,587,0
536,1195,10,0
537,651,16,1
538,592,39,1
539,1382,592,1
540,1388,593,0
541,1389,48,0
542,1391,32,0
543,1392,17,0
544,1395,278,1
545,1398,26,1
546,1400,22,1
547,1401,91,0
548,1402,597,1
549,1403,26,1
550,1405,48,0
551,1406,552,1
552,1407,598,0
553,1410,158,0
554,1415,73,1
555,1418,40,1
556,1421,442,0
557,1423,17,0
558,1426,0,0
559,242,242,1
560,1429,228,1
561,1431,104,1
562,1433,100,0
563,1440,219,1
564,624,278,1
565,1443,18,0
566,1444,100,0
567,1445,91,0
568,1449,605,0
569,1450,407,1
570,1451,606,1
571,1458,266,1
572,943,242,0
573,1460,242,0
574,1461,477,0
575,1462,402,1
576,1464,95,1
577,1466,181,0
578,1467,0,1
579,1471,17,0
580,1472,0,0
581,1473,346,0
582,1475,40,1
583,1477,0,0
584,1481,16,1
585,1482,100,1
586,1486,47,1
587,1488,431,1
588,1489,343,0
589,1491,612,0
590,1495,0,0
591,1500,343,1
592,1503,321,1
593,1505,189,1
594,1507,52,0
595,1511,546,0
596,1518,616,0
597,284,0,0
598,1522,618,1
599,1524,126,1
600,1530,619,1
601,1531,620,1
602,1533,18,0
603,1535,343,1
604,1538,189,1
605,48,266,0
606,1540,622,0
607,1542,623,0
608,1543,82,1
609,1544,472,1
610,242,627,1
611,1553,343,1
612,1555,0,0
613,1556,51,1
614,20,90,1
615,661,101,0
616,1557,243,1
617,1559,89,1
618,1560,629,1
619,1565,106,1
620,1566,89,1
621,1570,631,1
622,1573,165,1
623,1577,39,0
624,1578,156,0
625,1580,633,1
626,1581,91,0
627,1583,173,1
628,1029,300,1
629,1585,219,1
630,1589,598,0
631,1030,566,1
632,1591,636,0
633,1594,620,1
634,1595,221,0
635,1600,78,1
636,1604,642,1
637,1605,343,0
638,1607,643,0
639,1608,510,1
640,1609,17,0
641,1611,100,1
642,1619,40,0
643,955,644,1
644,1620,100,1
645,1624,99,1
646,1625,39,1
647,1626,193,1
648,1628,433,1
649,1629,242,0
650,1630,210,1
651,1632,645,1
652,1638,400,0
653,1639,29,0
654,1640,66,0
655,1641,196,0
656,1642,647,0
657,1644,24,0
658,1648,649,1
659,1650,650,0
660,1651,17,0
661,1653,40,1
662,1659,242,1
663,1662,654,1
664,1664,26,0
665,1667,645,0
666,1669,126,1
667,1672,215,0
668,1336,658,1
669,1675,266,0
670,20,129,1
671,1683,101,1
672,1687,242,1
673,1688,0,0
674,1690,135,0
675,1694,173,1
676,1700,82,1
677,168,243,1
678,182,47,1
679,1704,32,0
680,1706,101,0
681,268,173,0
682,1711,334,1
683,871,52,0
684,999,0,0
685,1722,402,1
686,1723,669,0
687,1725,18,0
688,1726,125,1
689,1728,429,1
690,1628,313,0
691,1735,439,0
692,1737,269,1
693,1739,424,1
694,1740,15,1
695,1741,34,1
696,1744,672,0
697,1745,402,1
698,1746,99,1
699,1162,160,1
700,1748,100,1
701,1753,149,0
702,1755,269,1
703,491,34,1
704,1764,675,0
705,1765,160,0
706,35,242,0
707,1766,52,0
708,1767,237,1
709,1102,677,0
710,1770,678,0
711,1772,129,1
712,1775,505,0
713,1777,78,1
714,1779,73,1
715,1780,86,0
716,1787,682,1
717,1789,329,0
718,1790,17,0
719,1792,17,0
720,1793,13,0
721,1795,126,1
722,1798,15,1
723,1801,0,0
724,1802,687,1
725,1804,100,1
726,1806,689,0
727,1466,129,1
728,1808,546,1
729,1812,39,0
730,1815,184,1
731,49,691,0
732,1818,93,1
733,1821,442,0
734,1823,692,1
735,215,693,0
736,1825,40,1
737,1827,32,0
738,1828,18,0
739,1834,260,1
740,1836,343,1
741,1840,43,1
742,1842,126,1
743,1846,91,0
744,1848,577,1
745,215,702,0
746,1849,473,1
747,1853,149,0
748,1859,402,1
749,160,681,0
750,1869,57,1
751,1870,128,0
752,1873,0,0
753,1879,73,1
754,516,19,1
755,829,40,1
756,1884,18,0
757,1885,0,0
758,1888,52,0
759,288,689,0
760,1890,457,1
761,1893,705,0
762,1895,73,1
763,1901,620,1
764,1902,210,1
765,1905,708,0
766,1906,587,0
767,1683,160,1
768,1146,163,1
769,1913,158,1
770,1914,372,1
771,1915,0,0
772,1917,710,1
773,1918,129,1
774,481,711,1
775,1920,343,1
776,1921,17,0
777,1899,242,1
778,1922,712,1
779,1925,39,1
780,1927,26,1
781,1933,101,0
782,1945,40,1
783,1946,443,0
784,1948,717,1
785,546,515,0
786,1950,718,0
787,471,546,1
788,1955,678,0
789,481,242,1
790,1556,235,1
791,1962,320,1
792,1964,82,1
793,1965,242,1
794,1975,402,0
795,1976,429,1
796,1978,125,1
797,1980,235,0
798,581,320,0
799,1983,15,1
800,1987,711,1
801,1988,32,0
802,1989,78,1
803,1990,15,1
804,1991,40,1
805,1993,547,1
806,1996,723,0
807,2001,39,1
808,2004,189,1
809,2006,39,1
810,2014,150,1
811,2015,372,1
812,2016,60,0
813,2020,82,1
814,2021,43,1
815,2023,40,1
816,2024,575,0
817,2026,673,0
818,2027,126,1
819,2030,189,1
820,2031,732,1
821,2032,15,1
822,2033,112,1
823,2035,260,0
824,2040,13,0
825,2043,343,1
826,2051,129,1
827,2052,584,0
828,2057,89,0
829,2058,736,1
830,2061,101,0
831,2062,737,1
832,2067,271,1
833,2069,100,1
834,2073,208,0
835,2074,17,0
836,2075,740,0
837,2077,40,1
838,2081,235,1
839,242,95,1
840,2083,542,1
841,621,599,1
842,2084,149,0
843,2087,709,0
844,2090,741,1
845,1036,175,0
846,2093,214,0
847,6,709,1
848,1734,742,0
849,2097,91,0
850,2099,242,0
851,2100,60,0
852,2101,53,1
853,2104,40,1
854,2106,402,1
855,2108,48,0
856,2109,424,1
857,2110,402,0
858,1304,100,1
859,2115,48,0
860,2116,278,1
861,2118,17,0
862,2119,129,1
863,2120,103,1
864,2121,744,1
865,2122,242,0
866,2124,103,1
867,2125,128,0
868,227,574,0
869,458,242,0
870,796,460,0
871,2135,196,0
872,2136,34,1
873,2137,17,0
874,242,219,1
875,2143,750,1
876,1705,17,0
877,2148,193,1
878,2151,583,0
879,696,752,1
880,2153,753,0
881,2154,16,0
882,2155,60,0
883,2156,155,1
884,2157,242,0
885,2158,111,0
886,2162,495,0
887,2164,32,0
888,2165,361,0
889,2166,196,0
890,2167,269,1
891,2172,741,1
892,2174,675,1
893,2175,129,1
894,2177,210,1
895,1401,86,1
896,2186,687,1
897,1849,128,0
898,2190,17,0
899,2198,189,1
900,2199,259,1
901,999,193,1
902,2201,210,1
903,2204,86,0
904,49,95,0
905,1370,606,1
906,2026,763,0
907,2210,764,0
908,2214,52,0
909,2218,626,1
910,2227,412,0
911,2229,126,1
912,1870,767,0
913,2233,95,1
914,2238,125,1
915,1085,43,0
916,2243,228,0
917,2245,772,1
918,2248,52,0
919,2249,98,0
920,1848,575,0
921,2253,773,0
922,2110,106,0
923,156,128,0
924,2255,0,0
925,2061,34,0
926,471,547,0
927,223,106,1
928,2263,26,0
929,2264,111,0
930,2266,66,0
931,2274,407,0
932,2275,329,0
933,2276,235,0
934,2278,15,1
935,2280,426,0
936,2087,259,0
937,2283,741,1
938,2285,32,0
939,2287,189,1
940,1328,0,0
941,2295,39,1
942,2298,115,0
943,2301,5,1
944,2303,18,0
945,2308,32,0
946,2311,533,1
947,2312,228,0
948,2313,779,1
949,2314,780,0
950,2315,17,0
951,2316,620,0
952,2317,742,0
953,288,412,1
954,2319,78,0
955,2322,86,0
956,2324,329,1
957,2325,91,0
958,2326,764,0
959,2328,39,1
960,2329,18,0
961,2331,781,1
962,2336,547,0
963,2340,237,1
964,2341,196,0
965,2343,40,1
966,1109,17,0
967,2347,546,1
968,2349,189,1
969,150,34,1
970,2353,266,0
971,2356,412,0
972,2365,105,1
973,2367,542,1
974,2369,163,1
975,26,345,1
976,268,537,0
977,2375,40,1
978,291,581,1
979,2379,741,1
980,2380,34,1
981,2381,793,0
982,2384,40,1
983,2390,52,0
984,2391,100,1
985,2399,131,0
986,2404,187,1
987,1962,5,0
988,16,44,0
989,2057,687,1
990,2155,577,1
991,366,798,1
992,2407,32,0
993,2408,264,1
994,2301,43,1
995,2413,118,1
996,2416,246,0
997,2417,242,0
998,2418,800,0
999,1718,22,0
1000,288,598,1
1001,2422,219,1
1002,2427,219,0
1003,2428,286,0
1004,2429,802,0
1005,2430,19,1
1006,2431,26,1
1007,1890,101,1
1008,2434,27,1
1009,2435,40,1
1010,1405,806,1
1011,2438,115,0
1012,2439,86,0
1013,2325,86,0
1014,1765,27,0
1015,2441,90,1
1016,2443,155,0
1017,1283,539,0
1018,2448,90,0
1019,2452,673,0
1020,1627,300,1
1021,242,810,1
1022,1022,797,0
1023,2105,812,0
1024,2458,18,0
1025,2460,243,1
1026,2462,813,1
1027,2465,18,0
1028,2466,219,1
1029,2467,39,1
1030,2470,39,0
1031,2471,816,0
1032,589,817,0
1033,2472,95,1
1034,1348,412,0
1035,2475,819,0
1036,2477,39,0
1037,2478,219,1
1038,2480,0,0
1039,2483,189,1
1040,2484,90,0
1041,1032,797,1
1042,2485,361,0
1043,2488,34,1
1044,2489,771,0
1045,2490,18,0
1046,2491,129,1
1047,2493,457,0
1048,1762,19,1
1049,2496,126,1
1050,900,242,1
1051,2500,32,0
1052,2502,286,0
1053,1909,806,1
1054,2504,155,1
1055,2510,402,0
1056,2516,242,1
1057,2519,19,1
1058,2522,243,1
1059,2523,30,1
1060,2526,34,1
1061,2531,358,1
1062,2534,825,1
1063,2536,412,0
1064,49,826,0
1065,2538,86,1
1066,2542,404,0
1067,288,692,0
1068,2543,231,0
1069,2548,598,0
1070,2485,547,0
1071,2550,260,0
1072,2551,827,0
1073,2155,575,0
1074,2554,39,1
1075,2555,807,1
1076,2556,404,0
1077,2557,72,0
1078,2559,34,1
1079,2566,242,1
1080,2567,40,1
1081,156,214,0
1082,2571,685,1
1083,2576,832,0
1084,2580,27,0
1085,2585,504,1
1086,2586,189,1
1087,2590,503,1
1088,2591,41,0
1089,2595,48,0
1090,2596,304,1
1091,2597,402,1
1092,2598,429,1
1093,2599,17,0
1094,1244,834,0
1095,2605,315,1
1096,97,835,0
1097,1542,22,0
1098,2609,18,0
1099,2613,41,0
1100,2615,836,1
1101,2617,39,1
1102,2622,228,1
1103,2623,39,1
1104,2624,100,1
1105,268,692,0
1106,2625,196,0
1107,2626,82,1
1108,2615,839,0
1109,2565,840,1
1110,2628,15,1
1111,2630,39,1
1112,242,841,1
1113,2280,377,0
1114,2613,842,1
1115,686,43,0
1116,2637,476,0
1117,688,547,0
1118,2638,100,1
1119,2639,0,0
1120,2640,534,1
1121,2642,104,1
1122,2643,843,0
1123,2644,343,1
1124,2645,112,1
1125,508,844,0
1126,2650,247,1
1127,943,845,0
1128,2655,29,0
1129,2656,135,1
1130,2657,40,1
1131,2662,219,1
1132,1438,846,1
1133,2666,0,1
1134,2670,235,0
1135,2673,326,0
1136,2674,160,0
1137,2675,264,1
1138,2676,18,0
1139,485,678,0
1140,2677,32,0
1141,2678,86,1
1142,2680,402,1
1143,2684,40,1
1144,2686,737,1
1145,1336,477,0
1146,2691,155,1
1147,2692,242,1
1148,2693,100,1
1149,1787,536,0
1150,2694,850,0
1151,2698,231,0
1152,2704,853,0
1153,2115,19,1
1154,2710,50,1
1155,1328,48,0
1156,2712,650,1
1157,2717,91,0
1158,2722,39,1
1159,2724,17,0
1160,2726,52,0
1161,2727,32,0
1162,643,654,1
1163,2733,857,1
1164,2738,441,1
1165,2739,859,1
1166,2743,197,0
1167,2745,861,0
1168,1767,305,0
1169,2747,13,0
1170,2748,326,0
1171,1249,343,1
1172,2593,606,1
1173,2751,547,0
1174,2752,32,0
1175,2756,41,0
1176,2758,129,1
1177,2759,94,0
1178,2761,17,0
1179,2762,160,1
1180,2767,129,1
1181,2771,17,0
1182,2773,52,0
1183,2775,718,0
1184,2777,542,1
1185,2781,94,1
1186,2784,870,1
1187,2785,34,0
1188,2787,0,0
1189,2790,86,0
1190,1628,431,1
1191,2792,39,0
1192,2794,546,1
1193,55,242,0
1194,2798,104,1
1195,2800,875,0
1196,2801,155,1
1197,2800,372,1
1198,2810,91,0
1199,2812,100,1
1200,2813,125,1
1201,2815,39,1
1202,2816,546,1
1203,2817,269,1
1204,2818,260,0
1205,2311,878,1
1206,922,22,1
1207,2827,542,1
1208,2828,60,0
1209,2831,53,1
1210,2834,345,0
1211,798,880,0
1212,1597,47,1
1213,2837,386,0
1214,2838,214,0
1215,1118,90,1
1216,2844,32,0
1217,2846,135,1
1218,2110,47,1
1219,1089,824,0
1220,1779,18,0
1221,1283,90,1
1222,2858,73,1
1223,2859,51,1
1224,2861,189,1
1225,1457,709,0
1226,2555,626,1
1227,2867,82,1
1228,2868,57,0
1229,1191,566,1
1230,2874,237,0
1231,464,43,0
1232,2878,94,1
1233,2882,235,1
1234,2883,335,0
1235,2887,26,1
1236,2889,890,0
1237,1870,320,1
1238,2893,40,1
1239,2894,100,1
1240,2907,34,0
1241,2915,126,1
1242,2918,40,1
1243,2921,52,0
1244,740,503,1
1245,715,82,1
1246,2927,899,0
1247,2928,900,0
1248,2933,214,0
1249,2934,750,1
1250,964,197,0
1251,2937,0,0
1252,454,412,0
1253,2943,902,0
1254,1359,323,0
1255,1189,689,0
1256,2946,260,0
1257,2947,546,1
1258,2608,39,1
1259,2950,412,0
1260,2951,219,1
1261,2955,189,1
1262,2956,904,0
1263,2958,905,0
1264,2960,768,0
1265,2961,17,0
1266,2964,906,0
1267,708,0,0
1268,2967,101,0
1269,2973,910,0
1270,2977,60,0
1271,2978,99,1
1272,210,89,1
1273,2984,86,0
1274,2987,126,1
1275,2990,21,1
1276,2995,240,1
1277,2996,460,0
1278,2997,86,0
1279,2998,682,1
1280,1628,914,1
1281,3003,100,1
1282,3005,345,1
1283,1557,329,1
1284,3006,208,0
1285,3007,582,0
1286,20,836,1
1287,3022,60,1
1288,3024,11,0
1289,3025,225,1
1290,3027,732,1
1291,3030,32,0
1292,3033,320,0
1293,3035,115,0
1294,48,167,0
1295,2679,917,0
1296,2625,402,0
1297,3044,918,0
1298,3046,100,1
1299,3047,18,0
1300,3049,921,1
1301,3051,833,1
1302,3056,43,1
1303,3058,18,0
1304,3063,13,0
1305,3067,922,0
1306,3072,402,1
1307,1890,34,1
1308,3080,89,0
1309,3082,160,1
1310,3083,431,1
1311,288,15,1
1312,2005,539,0
1313,3087,675,1
1314,2434,34,1
1315,3089,32,0
1316,3093,925,1
1317,3096,131,0
1318,3097,149,0
1319,3099,101,0
1320,3105,391,0
1321,3109,927,1
1322,3111,52,0
1323,3112,326,0
1324,3113,345,1
1325,1102,242,0
1326,3115,247,1
1327,3121,155,0
1328,3123,19,1
1329,3125,82,1
1330,3127,478,0
1331,3128,173,1
1332,3129,26,1
1333,3133,78,1
1334,3139,125,0
1335,1044,189,1
1336,3143,322,0
1337,3145,931,1
1338,3151,91,1
1339,1672,932,1
1340,3153,17,0
1341,3156,176,1
1342,3157,555,0
1343,3158,618,1
1344,3159,165,1
1345,5,934,0
1346,3164,6,1
1347,2699,14,0
1348,3168,834,0
1349,3169,936,1
1350,3170,681,0
1351,3171,51,1
1352,283,189,1
1353,3177,39,0
1354,3178,938,1
1355,3180,246,0
1356,3181,260,1
1357,3164,835,0
1358,3192,73,1
1359,3193,89,0
1360,3195,483,1
1361,3197,57,1
1362,3198,939,1
1363,3199,654,1
1364,1683,34,1
1365,3207,326,0
1366,320,91,0
1367,3209,13,1
1368,2615,19,1
1369,3211,287,0
1370,302,941,1
1371,3143,942,1
1372,3212,176,1
1373,3213,677,1
1374,843,16,0
1375,3217,945,0
1376,3221,115,0
1377,3225,947,1
1378,3226,189,1
1379,3227,129,1
1380,3228,402,1
1381,3236,547,0
1382,3237,225,1
1383,3239,47,1
1384,3242,18,0
1385,3244,949,1
1386,3130,39,0
1387,3247,0,0
1388,454,737,1
1389,589,128,0
1390,3259,39,1
1391,3262,18,0
1392,3263,361,1
1393,3265,5,0
1394,3273,155,0
1395,3274,329,0
1396,3275,235,0
1397,3280,17,0
1398,212,208,0
1399,3285,0,0
1400,3288,219,1
1401,3292,345,0
1402,1659,627,1
1403,3294,957,0
1404,3297,34,1
1405,1094,958,1
1406,3300,343,1
1407,3303,34,1
1408,1389,959,1
1409,3308,583,0
1410,2751,246,1
1411,1369,507,0
1412,2734,41,0
1413,1029,961,0
1414,3315,43,1
1415,3316,184,0
1416,2243,26,1
1417,1695,962,0
1418,3321,401,1
1419,3323,48,0
1420,168,260,1
1421,3325,41,0
1422,3330,13,0
1423,3332,429,1
1424,3334,82,1
1425,3340,32,0
1426,3341,965,1
1427,1505,131,0
1428,3342,115,0
1429,20,181,1
1430,481,627,1
1431,2861,48,0
1432,3347,334,1
1433,3355,947,1
1434,3356,39,1
1435,3358,91,0
1436,3360,90,1
1437,3362,60,0
1438,3364,158,0
1439,3366,232,1
1440,1029,121,1
1441,3372,39,1
1442,1095,971,1
1443,3170,214,0
1444,3373,100,1
1445,3374,242,0
1446,3375,86,1
1447,3377,73,1
1448,3378,689,0
1449,3383,412,0
1450,3264,402,0
1451,242,972,1
1452,288,40,0
1453,1767,626,1
1454,1870,974,1
1455,3390,975,0
1456,685,95,0
1457,3393,247,1
1458,1628,976,0
1459,869,977,0
1460,3394,89,0
1461,3397,91,0
1462,2727,40,1
1463,3400,160,1
1464,2866,32,1
1465,3405,685,1
1466,3406,41,1
1467,3409,40,1
1468,3412,455,1
1469,28,315,1
1470,3414,90,0
1471,1764,326,1
1472,3423,673,0
1473,1225,517,0
1474,3426,60,0
1475,3430,43,1
1476,3431,231,0
1477,3433,345,0
1478,1107,32,0
1479,3437,685,1
1480,2810,86,1
1481,3441,32,0
1482,3443,242,1
1483,3444,47,1
1484,3445,95,1
1485,3446,361,0
1486,2253,32,1
1487,3449,39,0
1488,3450,232,1
1489,3451,361,0
1490,3452,19,1
1491,3457,112,0
1492,3460,692,0
1493,3462,0,0
1494,3466,648,0
1495,3467,259,1
1496,3469,242,1
1497,3470,17,0
1498,3471,13,0
1499,3473,101,0
1500,1578,165,1
1501,3475,40,1
1502,3478,242,1
1503,3479,82,1
1504,3482,66,1
1505,509,48,0
1506,3485,18,0
1507,3488,90,0
1508,2311,494,1
1509,3492,176,1
1510,3496,100,1
1511,242,31,1
1512,3500,32,0
1513,338,372,1
1514,3501,658,0
1515,3502,460,0
1516,3503,278,1
1517,3505,155,1
1518,3506,32,0
1519,3507,242,1
1520,3510,165,1
1521,3511,34,1
1522,3515,155,0
1523,2156,812,0
1524,1189,771,1
1525,589,273,0
1526,3517,673,1
1527,3522,48,0
1528,1870,504,1
1529,3524,575,0
1530,3525,16,1
1531,3529,189,1
1532,3531,0,0
1533,3532,131,0
1534,3533,431,1
1535,3535,354,0
1536,3536,938,0
1537,3537,443,1
1538,3355,750,0
1539,3539,0,0
1540,3540,0,0
1541,3541,91,1
1542,3543,210,1
1543,3544,48,0
1544,16,32,0
1545,1361,231,0
